# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
5.06458 30.1839 0     8.73286 -11.705 0     1     0     81.2273 278.81 0     
0.0311631 24.2281 0     -2.79278 2.36837 0     1     0     -17.9484 -2.90855 0     
5.28347e-06 38.919 0     -0.0146799 1.80746 0     1     0     -33.3467 10.9219 0     
3.16135 31.5778 0     -5.32249 -5.15545 0     1     0     164.738 91.2583 0     
3.82367 34.7818 0     5.12844 7.00446 0     1     0     -8.48307 1.3586 0     
1.36786 32.0554 0     -5.92836 6.67133 0     1     0     55.2127 -560.597 0     
0.451987 34.1664 0     -8.55561 6.62048 0     1     0     -70.1973 -270.631 0     
0.000712956 40.226 0     -0.20021 21.088 0     1     0     -328.635 91.7514 0     
0.891301 38.1883 0     14.5767 10.2987 0     1     0     -499.586 137.924 0     
4.36073 33.6966 0     -4.16017 8.18604 0     1     0     -132.275 97.3261 0     
3.02197 30.057 0     -3.30344 7.97487 0     1     0     46.3813 72.6991 0     
5.23854 26.4782 0     -4.48339 1.66627 0     1     0     -441.667 277.161 0     
11.0248 27.1882 0     12.0498 -10.6194 0     1     0     28.9298 301.482 0     
8.09941 38.7905 0     6.75874 -3.41523 0     1     0     44.5488 -6.8543 0     
5.20429 40.6367 0     10.2405 6.46252 0     1     0     201.654 239.301 0     
6.57462 56.2779 0     19.1461 4.35255 0     1     0     0.305247 -11.1461 0     
5.26331 31.9079 0     1.18283 10.1184 0     1     0     304.762 -27.7357 0     
17.3056 48.4898 0     18.7667 -6.89819 0     1     0     0.642879 -11.1962 0     
2.89344 41.6513 0     8.56535 2.10769 0     1     0     29.6326 -16.9638 0     
6.11094 45.7843 0     10.1674 -6.25179 0     1     0     0.554883 -13.1954 0     
20.2259 52.6946 0     6.18536 -2.97217 0     1     0     2.07351 -12.7924 0     
7.98063 51.8984 0     5.43101 -0.287222 0     1     0     -28.746 -32.3538 0     
34.9837 46.0229 0     8.88459 6.53485 0     1     0     9.62284 -33.6588 0     
8.91869 55.6556 0     -12.6622 -30.705 0     1     0     -46.9638 -1050.25 0     
45.6375 70.8258 0     -4.77453 1.29192 0     1     0     3.77562 -8.44858 0     
18.9843 59.0513 0     3.36215 2.74858 0     1     0     -844.93 -2418.86 0     
2.77811 0.000462675 0     9.84239 0.0564821 0     1     0     288.613 -2087.51 0     
2.32566 0.75524 0     -13.5471 4.14754 0     1     0     -1057.8 1479.98 0     
2.14327 5.84533 0     -1.02391 -8.69177 0     1     0     -1.08311 144.307 0     
1.90113 2.75286 0     -0.0960912 -2.48706 0     1     0     56.3221 -86.7166 0     
0.998634 3.26368 0     -0.983362 3.45798 0     1     0     -106.272 466.689 0     
2.95276 2.60763 0     0.611179 -0.930095 0     1     0     -44.647 249.82 0     
1.76547 11.0144 0     5.05405 13.2298 0     1     0     2972.11 1838.92 0     
5.13243 12.1016 0     0.705618 6.11575 0     1     0     553.132 -1791.63 0     
1.78402 3.96623 0     0.505708 3.42254 0     1     0     -958.889 -344.933 0     
3.3791 14.5994 0     2.31406 10.4866 0     1     0     -914.691 -27.8209 0     
7.18744 10.8189 0     6.05554 -7.87157 0     1     0     -12.131 866.86 0     
7.12373 16.2311 0     1.05624 4.19065 0     1     0     -96.6872 440.275 0     
3.89041 13.4687 0     -5.72312 2.67729 0     1     0     -68.5707 90.1903 0     
4.58299 10.5394 0     10.4293 -5.48717 0     1     0     197.662 -684.572 0     
0.885179 14.6344 0     -5.39891 1.7191 0     1     0     -768.097 280.37 0     
0.000178542 12.88 0     0.00401958 -6.92562 0     1     0     -720.973 171.341 0     
1.75975 21.3403 0     1.38055 -0.194267 0     1     0     -600.811 1035.08 0     
