# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
6.25349 18.8822 0     -0.577107 4.49737 0     1     0     60.605 -105.51 0     
3.17536 19.7252 0     -0.725729 7.97517 0     1     0     149.494 -69.352 0     
5.58348 20.3887 0     6.10958 11.0486 0     1     0     -651.792 162.843 0     
2.4578 23.3408 0     -7.13188 7.20836 0     1     0     -455.914 -241.158 0     
0.994588 22.4837 0     -7.47733 -0.618486 0     1     0     -31.1738 -36.6282 0     
3.43427 26.5991 0     -13.6269 -10.5172 0     1     0     -130.536 -622.69 0     
3.17908 36.1152 0     4.77297 6.23228 0     1     0     -81.5863 132.407 0     
1.18702 32.7615 0     2.49552 10.7319 0     1     0     -321.782 -0.317781 0     
1.01909 24.3254 0     5.02782 -5.00601 0     1     0     -591.374 670.774 0     
8.78916 32.3347 0     -10.8231 4.38773 0     1     0     -114.728 101.421 0     
3.01995 31.08 0     -0.32068 -3.08422 0     1     0     -88.4093 -90.0732 0     
4.38505 36.8848 0     12.6783 -9.01593 0     1     0     -70.048 315.095 0     
1.1537 27.9046 0     4.69011 -4.29506 0     1     0     -256.25 -68.789 0     
2.4971 34.6245 0     8.25047 3.29799 0     1     0     419.196 119.477 0     
7.46525 31.5489 0     -8.48681 -3.24264 0     1     0     -302.787 116.958 0     
4.32547 54.856 0     6.6871 -0.890368 0     1     0     0.0819913 -12.2836 0     
8.32739 36.0682 0     16.1406 8.04072 0     1     0     215.017 -47.3598 0     
7.01085 55.1652 0     8.73027 7.8158 0     1     0     1.37872 -13.2038 0     
4.0207 40.1321 0     -2.61501 -12.2034 0     1     0     -1670.85 797.746 0     
7.78828 37.0632 0     -1.5541 11.15 0     1     0     284.836 -245.981 0     
11.202 44.9867 0     -2.48079 -6.28537 0     1     0     525.716 -357.536 0     
8.9024 54.997 0     -6.40144 -6.37617 0     1     0     10.2765 -25.9833 0     
7.2776 35.9945 0     3.88681 0.267344 0     1     0     -198.187 -45.1104 0     
5.85968 62.9228 0     9.39502 10.7503 0     1     0     101.444 960.35 0     
5.64465 40.2584 0     3.01057 9.35275 0     1     0     48.6735 -29.109 0     
11.8058 55.1698 0     -10.0188 1.69097 0     1     0     -1318.83 -616.106 0     
4.46075 1.91005 0     -15.6508 15.4009 0     1     0     537.634 -64.2455 0     
2.99143 2.96882 0     0.00220628 -1.05069 0     1     0     -43.9 -260.617 0     
4.76652 4.06677 0     7.94269 -2.71968 0     1     0     176.051 102.499 0     
3.77921 3.63239 0     -6.36925 -3.39011 0     1     0     333.226 -145.539 0     
5.15057 7.18108 0     9.47637 -4.15083 0     1     0     163.407 508.868 0     
1.90178 5.55429 0     1.83601 8.5893 0     1     0     222.341 1225.67 0     
4.11115 8.78648 0     -12.1871 -1.08097 0     1     0     -1271.65 -306.21 0     
3.65104 5.73691 0     6.42879 -3.64044 0     1     0     1165.36 -435.815 0     
4.73947 6.31613 0     1.71759 -5.3734 0     1     0     -27.9336 -567.213 0     
2.96434 8.11975 0     1.1615 -2.59145 0     1     0     280.118 272.418 0     
3.73525 12.0918 0     7.85746 8.40936 0     1     0     2222.25 -1199.14 0     
4.77721 9.43231 0     -0.0479398 -6.57689 0     1     0     150.172 501.074 0     
7.52039 10.8934 0     -6.08206 -7.05865 0     1     0     534.016 -441.43 0     
2.92131 13.84 0     0.316977 6.1876 0     1     0     -768.63 582.267 0     
3.60589 13.2798 0     -3.23294 -3.58058 0     1     0     83.4703 -796.505 0     
3.93146 15.0335 0     -2.43067 -9.27604 0     1     0     -637.128 233.104 0     
2.12004 14.3441 0     5.43875 2.11909 0     1     0     -1676.75 -404.703 0     
2.77119 17.4819 0     -0.986546 -5.92434 0     1     0     1272.38 -467.536 0     
5.62476 17.2329 0     -3.10229 1.89934 0     1     0     -297.143 -421.143 0     
1.1018 17.3091 0     8.85525 -0.573477 0     1     0     -379.736 -544.211 0     
3.61821 16.4821 0     3.73148 2.24734 0     1     0     -128.166 -33.2463 0     
1.21196 19.3399 0     -3.49203 0.987093 0     1     0     -181.459 -35.029 0     
5.63388 16.0198 0     7.00312 3.46446 0     1     0     -667.72 -597.295 0     
6.36865 16.5717 0     -2.63229 1.73392 0     1     0     895.399 562.146 0     
6.44748 17.7778 0     -4.91778 -10.5838 0     1     0     95.0681 291.179 0     
7.25555 19.2195 0     -5.01232 -2.27495 0     1     0     -355.468 -308.71 0     
3.76266 28.797 0     5.06031 4.52906 0     1     0     18.3349 -80.2476 0     
3.5011 29.8837 0     1.70438 9.00077 0     1     0     -34.758 24.2281 0     
2.16896 27.7919 0     -0.574395 -2.87289 0     1     0     208.121 114.927 0     
6.49782 29.7136 0     -0.197625 0.703697 0     1     0     182.172 833.686 0     
10.4318 28.0311 0     4.79648 6.22419 0     1     0     59.8203 302.049 0     
9.21581 28.8172 0     -2.84672 1.42812 0     1     0     -651.864 -50.473 0     
12.5804 25.0846 0     -1.50153 12.1007 0     1     0     468.294 -265.468 0     
6.45143 30.7771 0     -1.82022 -5.8116 0     1     0     204.205 -169.209 0     
16.1937 36.8104 0     5.71518 2.5679 0     1     0     -18.9998 -21.3132 0     
13.7095 35.6422 0     7.99934 4.42344 0     1     0     -26.6768 -102.141 0     
6.28502 28.1672 0     -4.79531 -1.73147 0     1     0     -1314.58 204.116 0     
3.10346 25.1331 0     7.80896 12.2032 0     1     0     190.167 -183.961 0     
5.6357 32.4361 0     -0.959934 12.5571 0     1     0     -693.793 998.356 0     
1.52443 34.4735 0     4.38073 5.52647 0     1     0     -459.115 -66.7038 0     
1.56101 28.8958 0     2.3665 -4.46144 0     1     0     24.7534 73.9856 0     
4.93141 41.1434 0     10.4435 -7.38976 0     1     0     3212.92 205.491 0     
1.03305 36.461 0     1.53701 7.12869 0     1     0     -35.6511 250.51 0     
18.6207 63.0942 0     0.482098 14.1975 0     1     0     -57.7414 -19.6656 0     
5.97928 41.6165 0     3.61567 -9.9397 0     1     0     -19.2609 54.038 0     
67.6701 85.6372 0     4.02521 -31.7769 0     1     0     0 -12.44 0     
10.1591 42.3724 0     1.40773 -0.323478 0     1     0     0.432243 5.80551 0     
41.4589 65.8992 0     7.20731 4.26855 0     1     0     -0.147611 -12.5233 0     
37.0615 46.2024 0     3.00926 14.2303 0     1     0     -29.741 27.9718 0     
83.487 61.1537 0     5.63137 -4.96558 0     1     0     168.562 -17.9957 0     
4.92778 1.01257 0     8.19727 -11.0206 0     1     0     -69.8892 -245.149 0     
3.9777 2.66774 0     1.946 -4.04523 0     1     0     -402.673 949.53 0     
5.74924 3.61405 0     9.03112 -1.83072 0     1     0     69.8802 171.843 0     
2.92802 4.10308 0     -1.37064 -9.7597 0     1     0     199.291 274.014 0     
5.74449 4.59888 0     5.00804 -14.8066 0     1     0     -398.355 334.688 0     
6.22831 7.12143 0     -10.9579 0.582514 0     1     0     -170.825 301.187 0     
3.80393 6.68248 0     -2.98431 8.5737 0     1     0     89.8015 409.02 0     
4.92122 8.28675 0     1.79929 -10.6745 0     1     0     335.342 -496.622 0     
2.81409 6.19677 0     -1.8066 -4.83836 0     1     0     -672.229 -57.0162 0     
4.62193 11.6332 0     5.64817 -1.56265 0     1     0     183.259 297.565 0     
2.91479 7.16937 0     -5.83108 -1.26452 0     1     0     -90.464 -101.427 0     
2.66498 11.4011 0     5.20325 -9.32181 0     1     0     676.088 575.756 0     
5.67313 9.00776 0     6.28186 -2.7536 0     1     0     -226.068 339.372 0     
7.04572 13.7926 0     13.6417 -6.35738 0     1     0     413.718 -147.17 0     
4.39807 12.8345 0     6.81381 -13.3411 0     1     0     762.366 -429.806 0     
5.11175 13.6343 0     -1.60532 -2.22114 0     1     0     -240.595 192.857 0     
6.22347 12.9134 0     12.3806 -5.60858 0     1     0     828.981 119.739 0     
4.65851 15.6441 0     -0.687255 5.14242 0     1     0     352.819 461.465 0     
9.89864 16.5818 0     -4.86746 0.147599 0     1     0     4.01799 65.5197 0     
2.88078 14.8297 0     0.946739 -7.8376 0     1     0     1188.15 190.828 0     
8.19976 15.4685 0     -8.62958 -3.36861 0     1     0     413.611 207.944 0     
2.08772 20.4206 0     -5.27347 -9.73295 0     1     0     79.2455 103.19 0     
6.50605 14.775 0     3.74181 4.08291 0     1     0     -210.748 472.528 0     
4.63168 16.7735 0     13.6721 -4.42693 0     1     0     227.621 -225.833 0     
5.51814 21.5621 0     0.357821 8.00995 0     1     0     249.916 320.936 0     
3.99649 18.6613 0     4.68492 5.08796 0     1     0     128.424 327.069 0     
4.3434 19.9557 0     5.48946 1.47224 0     1     0     126.631 -202.003 0     
7.69335 20.0873 0     -1.4114 8.55809 0     1     0     -198.146 829.75 0     
4.20821 24.7659 0     -1.27567 -5.42276 0     1     0     -8.17796 -61.4507 0     
8.14884 28.7024 0     1.0425 1.15267 0     1     0     161.32 190.086 0     
13.7945 28.5748 0     -0.478759 6.45647 0     1     0     -453.499 279.548 0     
8.29012 27.7119 0     3.28224 5.01017 0     1     0     12.714 -345.477 0     
21.449 39.1775 0     4.53769 -9.51776 0     1     0     -568.964 -132.235 0     
17.2456 25.8294 0     -5.15438 1.22759 0     1     0     232.663 -457.375 0     
11.645 26.9241 0     -3.72412 1.03345 0     1     0     223.631 -374.161 0     
13.8211 24.4624 0     -5.23582 1.79772 0     1     0     -269.695 -46.2875 0     
