# for file format info please take a look at /input/others/txt_file_description.txt
general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
5            0.0005         100            2.5            output

particles:
# origin             velocity         mass    type     old_force
61.9199 6.37511 0     -3.65698 -10.2544 0     1     0     485.371 -10873.8 0     
4.80243 10.8414 0     10.4669 2.86098 0     1     0     20.0014 10.6481 0     
58.1235 21.1522 0     14.7462 1.96056 0     1     0     -208.706 128.572 0     
62.2507 11.6881 0     2.97617 -8.97719 0     1     0     1727.65 206.27 0     
8.81817 8.6806 0     -11.2942 -31.8471 0     1     0     -128.811 697.879 0     
3.62665 8.38238 0     1.1755 5.81888 0     1     0     -0.755258 -10.0658 0     
2.06855 19.9983 0     -15.7853 -23.9938 0     1     0     -1.05464 -13.5953 0     
7.96439 10.7935 0     -9.52335 9.06748 0     1     0     -4.67869 -0.0108492 0     
62.8722 10.8806 0     -3.76727 12.3138 0     1     0     -0.981261 -6.31629 0     
8.25734 9.86269 0     -10.0432 3.67785 0     1     0     59.9974 -13.0592 0     
5.77587 15.1242 0     6.35502 -26.3868 0     1     0     6.15223 -13.2409 0     
61.016 5.27996 0     10.1256 2.4106 0     1     0     -0.518258 -13.8645 0     
9.54907 11.5677 0     1.26394 -22.6629 0     1     0     -1204.29 985.185 0     
5.72794 6.91106e-06 0     -2.20992 -0.0309343 0     1     0     50.389 -56.6441 0     
9.58891 5.84733 0     -9.22482 4.30849 0     1     0     0.818857 -13.999 0     
7.71003 8.84644 0     20.8191 4.55061 0     1     0     497.318 807.499 0     
10.737 5.40269 0     -2.14884 -2.58388 0     1     0     -32.5479 1511.98 0     
6.24073 7.9914 0     -18.7126 -4.01185 0     1     0     476.282 -840.67 0     
2.51793 0.039333 0     -4.13525 4.3705 0     1     0     5222.35 286.376 0     
10.0519 0.562595 0     -3.54748 -11.5418 0     1     0     -9.44086 -21.2157 0     
9.075 3.2233 0     -10.3961 0.136625 0     1     0     2634.53 -33.2485 0     
59.3857 6.32737 0     -10.2382 -26.3986 0     1     0     -287.69 48.6609 0     
3.76406 17.8406 0     6.39927 13.8315 0     1     0     1718.17 2204.62 0     
1.67804 14.3074 0     2.07623 7.05699 0     1     0     -255.33 291.67 0     
12.5496 5.02733 0     -6.87157 -37.2209 0     1     0     -13.2396 3.9339 0     
3.99269 2.67947e-06 0     0.68705 0.00237591 0     1     0     0.330709 -8.54342 0     
61.556 11.5999 0     25.8509 -11.5215 0     1     0     614.301 -979.261 0     
6.97317 4.8253e-05 0     5.28419 -0.0807333 0     1     0     -34.3258 -213.773 0     
0.236947 4.71025 0     5.91807 7.54968 0     1     0     -1151.45 -1112.32 0     
1.66348 10.6557 0     -17.0386 -7.98503 0     1     0     411.122 -110.572 0     
3.33112 17.2888 0     -18.6305 -2.84637 0     1     0     -1708.46 -2230.78 0     
9.90275 2.43502 0     5.76868 -6.02403 0     1     0     20.0942 -13.4356 0     
5.41122 5.79965 0     -2.68694 -13.5495 0     1     0     2963.26 2408.87 0     
17.0414 0.703501 0     -8.55648 1.74321 0     1     0     -80.7786 300.566 0     
62.7826 14.3068 0     -9.37231 -9.9742 0     1     0     -20.8183 -62.9698 0     
5.28486 20.5178 0     -8.82747 9.36865 0     1     0     -641.912 88.8944 0     
12.1963 0.828667 0     -11.8632 -27.7979 0     1     0     -572.61 -421.609 0     
8.98626 15.1001 0     -0.248782 -7.65681 0     1     0     -3.92796 -8.26539 0     
4.49805 9.04283 0     -16.9562 4.76074 0     1     0     -2.92357 -16.8919 0     
61.2057 13.5575 0     7.37216 -3.57747 0     1     0     -38.6789 14.3881 0     
61.893 7.00445 0     -1.85719 11.7249 0     1     0     -477.447 10854.3 0     
1.0057 11.8615 0     -8.94802 -1.12587 0     1     0     -14.6277 -23.9894 0     
0.532306 1.45793 0     -21.3519 -5.54905 0     1     0     0.719825 -12.6835 0     
2.99901 4.14209 0     3.7085 4.29185 0     1     0     24.9237 -37.2177 0     
3.57314 1.10853 0     8.72879 -6.36026 0     1     0     343.556 -366.621 0     
11.0699 7.02472 0     8.06804 5.51674 0     1     0     0.930932 -9.49208 0     
3.08233 6.28312 0     0.983082 -21.2657 0     1     0     -78.0167 -74.4379 0     
11.7614 1.76594 0     28.2071 -5.11869 0     1     0     1.10238 -9.89414 0     
6.57734 10.6179 0     3.86641 -27.6426 0     1     0     834.552 384.627 0     
12.3407 8.50166 0     -4.69122 -14.9095 0     1     0     379.139 -473.531 0     
60.9303 9.80222 0     10.0612 -12.0832 0     1     0     94.5005 -463.842 0     
15.0442 7.25978 0     1.14123 -17.934 0     1     0     -26.0324 -74.8604 0     
8.00634 5.47281 0     6.38964 8.73739 0     1     0     -3.76255 -9.99071 0     
14.1836 5.23731 0     24.4064 -2.09487 0     1     0     -415.392 -2030.74 0     
7.67385 4.28142 0     -2.73434 8.31462 0     1     0     1185.28 91.7855 0     
10.7198 4.68359 0     -35.9209 -3.41209 0     1     0     3.59913 -1534.02 0     
10.9823 8.99314 0     13.1393 -27.4348 0     1     0     -41.1856 67.6778 0     
10.895 0.00591296 0     12.3735 -0.0569826 0     1     0     -544.188 -39.2354 0     
6.08611 4.62179 0     -21.3725 -3.34596 0     1     0     4559.09 -6872.75 0     
6.83504 3.45612 0     -2.76853 -43.6399 0     1     0     11.6778 -830.548 0     
7.40347 2.45338 0     -9.93833 1.31988 0     1     0     -29.3897 33.4467 0     
8.953 2.45297 0     5.97007 1.70203 0     1     0     -132.477 -380.179 0     
17.0753 8.21772 0     11.9391 -5.83522 0     1     0     -45.932 1160.53 0     
10.2067 14.8136 0     0.97401 -8.46278 0     1     0     -9.93494 -9.15723 0     
10.6878 8.19971 0     -14.747 4.40188 0     1     0     -41.2338 -131.243 0     
6.2068 2.93143 0     2.96235 -13.7209 0     1     0     -128.012 -134.221 0     
15.3747 28.0625 0     32.8675 -7.29124 0     1     0     1.10465 -12.9936 0     
12.534 1.53491e-05 0     7.52382 -0.00227499 0     1     0     122.514 -58.6627 0     
12.6038 3.6818 0     7.34252 -1.65324 0     1     0     -43.7259 59.9488 0     
7.46925 8.14902 0     -6.46661 2.65879 0     1     0     261.648 -395.766 0     
14.5065 0.25994 0     -2.38005 3.84916 0     1     0     -449.101 -1187.81 0     
3.99238 11.2708 0     -6.68792 -20.0401 0     1     0     -38.1058 10.2254 0     
13.3755 1.86385 0     -6.54649 1.93386 0     1     0     -1128.78 956.952 0     
9.12079 1.7246e-06 0     -8.27838 -0.000970307 0     1     0     0.691704 -10.658 0     
8.07437 0.213327 0     -2.35977 -15.2099 0     1     0     -3.32691 -10.3798 0     
5.29683 2.68214 0     10.4423 -3.40805 0     1     0     -25.1823 -17.9608 0     
2.25393 3.46847 0     4.33204 6.68594 0     1     0     -0.421945 -8.15828 0     
3.05356 9.47161 0     22.0684 -36.2708 0     1     0     4270.62 -962.325 0     
4.61434 1.75313 0     1.55083 0.459197 0     1     0     102.796 -97.9074 0     
7.85825 14.7688 0     12.9559 11.327 0     1     0     785.894 -2586.77 0     
0.582479 3.98918 0     -7.60142 2.17093 0     1     0     -112.914 -335.674 0     
13.5091 9.04152 0     -10.6885 -5.78184 0     1     0     -83.2543 66.0467 0     
21.6928 1.46446 0     3.72417 -7.99209 0     1     0     -1057.34 -2668.38 0     
10.4146 1.46379 0     -18.3146 -1.32591 0     1     0     0.763815 4.32895 0     
2.02459 2.49126 0     -9.81392 -29.6542 0     1     0     -69.7095 -11.5282 0     
14.3997 3.73888 0     -4.03157 30.6075 0     1     0     -1252.01 4803.68 0     
17.2857 3.71173 0     13.7954 7.74965 0     1     0     601.435 -9.62858 0     
9.4919 7.25689 0     -5.14142 28.3822 0     1     0     44.1771 34.5503 0     
8.81975 4.83992 0     1.1614 -2.25101 0     1     0     1.09095 -13.867 0     
14.8052 9.8141 0     8.23382 -2.34707 0     1     0     -79.6987 183.419 0     
16.4349 1.49832 0     13.566 10.2058 0     1     0     2091.28 3097.39 0     
19.5012 1.60199 0     9.46159 0.0353701 0     1     0     0.190217 -12.5377 0     
8.69171 11.6179 0     11.2562 17.8494 0     1     0     302.819 -1099.95 0     
5.34478 13.1651 0     -18.4603 -11.3337 0     1     0     219.324 190.241 0     
10.3092 19.1343 0     23.7536 21.7345 0     1     0     -2326.36 183.992 0     
21.5592 11.3837 0     -17.635 14.3188 0     1     0     1.36968 -13.4727 0     
25.7856 0.00018088 0     5.47384 -0.245277 0     1     0     -1168.16 -903.856 0     
15.4481 5.71646e-05 0     -5.40974 -0.0335406 0     1     0     13.0738 -10.9068 0     
14.958 5.61457 0     0.021308 -11.6152 0     1     0     784.509 -631.614 0     
11.767 4.17011 0     -12.4623 -13.9404 0     1     0     2.86129 22.0013 0     
3.18 10.1425 0     0.199674 -17.7304 0     1     0     708.857 3417.24 0     
13.3459 5.75981 0     -5.367 3.1608 0     1     0     -348.386 -783.134 0     
9.19758 1.61636 0     -4.32216 -12.1596 0     1     0     31.2615 -112.783 0     
14.7582 0.947757 0     -6.20334 12.9742 0     1     0     444.975 1163.75 0     
11.2443 0.862925 0     -3.02027 -4.32006 0     1     0     -12.9058 27.8859 0     
15.1754 2.27998 0     5.81035 3.47774 0     1     0     -738.687 -1197.87 0     
12.0945 11.165 0     10.1727 -17.2293 0     1     0     389.984 -241.022 0     
14.2916 5.9279 0     -2.39156 -7.93238 0     1     0     -522.605 2334.31 0     
9.59271 12.6383 0     -1.78334 6.63311 0     1     0     11.7883 -39.7069 0     
21.0232 5.82604e-06 0     -15.5622 -0.00886851 0     1     0     8.19835 -31.7702 0     
11.6778 5.72191e-06 0     27.9887 -0.000716562 0     1     0     436.596 -36.4909 0     
11.6749 5.30027 0     23.5972 -12.1654 0     1     0     -1.67989 -9.90438 0     
4.75789 5.69169 0     0.133767 -3.17405 0     1     0     -4256.73 -750.178 0     
7.02049 6.33571 0     -24.0206 -23.0566 0     1     0     213.603 72.3234 0     
23.0285 0.291772 0     -0.985728 0.909582 0     1     0     -0.822756 -11.1096 0     
6.25788 11.4241 0     -8.45982 -7.28855 0     1     0     -14.5526 55.0614 0     
18.2568 2.08128 0     -6.739 -17.0657 0     1     0     -0.497474 -28.2078 0     
11.3364 16.1993 0     4.67174 -33.8858 0     1     0     -129.89 -135.841 0     
11.5172 13.0301 0     -1.84486 3.23411 0     1     0     3.16906 -12.6632 0     
20.0723 3.83852 0     8.11957 -2.79145 0     1     0     -6.11824 3.12163 0     
10.1242 11.1433 0     15.6906 -5.00585 0     1     0     875.658 -731.818 0     
13.332 7.94535 0     19.1593 -26.265 0     1     0     -141.757 122.211 0     
20.797 24.8214 0     35.9661 -13.365 0     1     0     3.13151 -9.8159 0     
