# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
2.8431 17.3398 0     -0.238027 0.470937 0     1     0     -11.8421 60.1736 0     
2.86169 18.4026 0     0.051825 -0.274467 0     1     0     -6.40441 -25.2644 0     
2.89047 19.4594 0     0.126091 0.20291 0     1     0     -26.4607 2.61703 0     
1.98664 19.9817 0     -0.873941 0.337019 0     1     0     -113.292 104.041 0     
2.90547 20.5248 0     -0.252698 0.0912746 0     1     0     15.8049 11.0836 0     
2.94101 21.5921 0     0.861661 1.00643 0     1     0     -26.4353 -58.822 0     
1.99866 22.103 0     1.78348 0.926968 0     1     0     35.7095 57.3876 0     
2.96105 22.638 0     0.170402 0.800086 0     1     0     -39.8842 42.7905 0     
2.96132 23.7112 0     0.722535 -0.786443 0     1     0     48.9947 29.3547 0     
2.03115 24.2411 0     0.368294 -0.397712 0     1     0     -18.041 -52.143 0     
4.01356 26.3774 0     -0.780023 -1.44836 0     1     0     30.6931 64.0804 0     
3.0156 25.8788 0     0.760966 -0.75574 0     1     0     6.06954 -37.2957 0     
2.06216 26.3742 0     0.084641 1.00429 0     1     0     -28.7194 27.7383 0     
2.07722 27.4501 0     1.31647 1.01564 0     1     0     -67.6667 -24.7991 0     
2.01846 28.5191 0     0.935008 0.158559 0     1     0     71.1861 -60.1209 0     
2.95921 29.1003 0     0.448231 -0.774524 0     1     0     41.6486 -66.3379 0     
2.94045 30.2084 0     -0.502452 0.44767 0     1     0     11.7393 -29.3956 0     
2.02287 29.5919 0     -0.362623 -0.129375 0     1     0     -66.2175 82.3391 0     
1.99465 30.7133 0     0.550472 0.390045 0     1     0     3.89726 -62.7492 0     
3.02149 32.3824 0     0.18195 1.27236 0     1     0     -35.1727 18.0783 0     
2.06705 32.9058 0     0.338385 -0.414817 0     1     0     -17.2543 -19.7251 0     
2.05496 34.0078 0     -1.52189 0.539207 0     1     0     78.1678 22.4032 0     
2.12459 35.1509 0     -1.29417 -0.354206 0     1     0     -14.1094 9.07846 0     
3.12947 35.7386 0     0.491456 0.914666 0     1     0     8.83722 -35.58 0     
2.22138 37.4983 0     -0.709698 0.62646 0     1     0     4.19411 15.3863 0     
1.19711 38.1666 0     0.498757 -0.70585 0     1     0     -45.6897 -12.7048 0     
2.33226 39.9006 0     -1.58155 -1.32671 0     1     0     -41.5497 12.1673 0     
4.83811 41.1373 0     -1.21405 -0.206493 0     1     0     -6.0117 -0.434617 0     
5.00721 0.965057 0     0.278447 -0.554502 0     1     0     71.4326 18.4827 0     
4.51645 1.83741 0     -0.842881 0.324162 0     1     0     -41.9082 -7.18854 0     
3.99179 2.68874 0     0.168987 -0.0106989 0     1     0     -51.4753 -16.0914 0     
3.46063 3.48122 0     -0.448383 -0.520298 0     1     0     210.365 -3.33929 0     
4.43759 3.66946 0     -0.960834 -0.33834 0     1     0     -29.1213 -34.6689 0     
3.70927 4.44822 0     0.473204 0.331921 0     1     0     10.0472 -9.81896 0     
4.57729 5.90426 0     -0.110434 0.0160416 0     1     0     93.7959 -10.0587 0     
3.7002 5.44419 0     -0.830836 0.769303 0     1     0     83.5735 -105.804 0     
3.70705 6.45079 0     -0.952393 -0.970668 0     1     0     -69.9596 151.031 0     
2.80274 7.00288 0     0.15881 -0.049851 0     1     0     -1.27396 -61.6787 0     
4.59602 7.9921 0     -0.945181 0.284439 0     1     0     -89.1369 -88.6898 0     
2.80236 8.01874 0     -0.274871 0.817413 0     1     0     -73.1523 2.98883 0     
2.79562 9.04614 0     -0.408652 -0.858538 0     1     0     -28.7575 -25.1149 0     
2.79567 10.0733 0     -0.554958 1.0392 0     1     0     -43.0975 -34.4844 0     
2.78672 11.0905 0     0.405265 0.373071 0     1     0     91.6035 4.00729 0     
2.8133 12.1115 0     -1.45979 1.26128 0     1     0     -60.503 94.9218 0     
2.8185 13.1475 0     0.5918 0.276315 0     1     0     -0.46773 89.0748 0     
2.82591 14.2134 0     1.61674 0.768445 0     1     0     -22.9793 -79.9518 0     
4.64309 14.1701 0     0.0427351 -0.0569501 0     1     0     -59.3539 -10.0327 0     
3.73017 14.7041 0     -0.0603921 -1.29331 0     1     0     52.6795 32.4964 0     
4.65368 15.2086 0     0.925363 0.453859 0     1     0     -42.8678 49.5573 0     
3.72642 15.7584 0     -1.19258 1.49797 0     1     0     80.7607 13.39 0     
3.76061 16.8108 0     -0.556728 -0.0691692 0     1     0     -53.4573 -47.7194 0     
3.77805 17.8548 0     0.66358 -0.550955 0     1     0     -70.7489 81.5219 0     
3.78622 18.9366 0     -1.18741 -0.20314 0     1     0     -23.1283 -89.9714 0     
3.81666 19.9834 0     -0.123242 0.049801 0     1     0     -9.64602 70.5549 0     
3.85434 21.0439 0     -0.386207 1.2861 0     1     0     20.1633 21.9016 0     
4.79671 21.6055 0     -0.354527 -0.246423 0     1     0     8.63312 -6.20963 0     
3.8887 22.1182 0     -0.441385 1.84803 0     1     0     14.5984 13.1632 0     
