# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
63.9147 25.1901 0     -0.866365 0.265973 0     1     0     6.21271 12.9392 0     
64.4529 26.133 0     0.10133 -0.153146 0     1     0     13.9132 8.42882 0     
63.9102 27.0784 0     0.635863 -0.281714 0     1     0     36.4451 -10.0426 0     
64.4401 28.0455 0     0.243289 0.425702 0     1     0     -43.8606 -57.7173 0     
63.3614 27.9979 0     0.793781 0.334136 0     1     0     -0.0314115 54.859 0     
63.8783 28.9636 0     -0.997862 0.685913 0     1     0     -36.0295 52.0221 0     
62.8021 28.9672 0     1.14112 0.369953 0     1     0     3.98219 -31.6721 0     
62.7477 30.8956 0     0.0394683 -0.580438 0     1     0     -7.65842 -48.5318 0     
61.6614 30.8835 0     0.308893 -0.683556 0     1     0     -23.4904 -12.3519 0     
60.4886 32.8405 0     0.139206 0.559622 0     1     0     9.37401 -14.5094 0     
61.0213 33.825 0     -1.05446 0.397516 0     1     0     -22.3325 2.05594 0     
61.5516 34.8225 0     -0.495912 -0.981628 0     1     0     -58.1511 1.66242 0     
60.2496 36.8269 0     1.20193 0.597711 0     1     0     53.3859 -8.05538 0     
60.9435 35.8277 0     -0.215958 -0.186917 0     1     0     -40.7371 -20.6831 0     
61.3839 36.8593 0     1.32252 -0.669304 0     1     0     6.09606 6.62051 0     
59.9951 38.9297 0     1.34053 -0.36995 0     1     0     22.8556 -10.4298 0     
60.4148 40.0518 0     -0.754657 1.22623 0     1     0     14.8323 -6.58044 0     
62.2458 41.1041 0     3.15556 -0.36546 0     1     0     -25.5468 -8.2931 0     
58.8469 42.3815 0     -0.594244 0.0920956 0     1     0     8.85963 -11.224 0     
65.4603 0.958023 0     -0.883894 0.0442568 0     1     0     49.0339 120.034 0     
65.9891 1.82799 0     0.312476 -0.887565 0     1     0     35.2238 -12.8393 0     
64.9433 1.81987 0     0.34093 0.0988339 0     1     0     -29.823 -59.789 0     
65.4538 2.68592 0     1.19256 0.801632 0     1     0     151.794 80.2346 0     
66.0017 3.55713 0     0.149925 0.0303597 0     1     0     -29.7728 -0.029823 0     
65.4643 4.42974 0     0.365643 0.604054 0     1     0     66.9637 50.6688 0     
64.9422 5.31262 0     0.806332 -0.0469647 0     1     0     46.2269 -46.6758 0     
64.4145 6.18105 0     -0.446327 -1.3929 0     1     0     47.9822 72.0061 0     
64.9399 7.0627 0     -0.311265 0.265176 0     1     0     -1.09289 -6.69609 0     
63.8837 7.06226 0     -0.756993 -0.213345 0     1     0     31.5461 3.97679 0     
64.4162 7.94671 0     -0.108618 -0.293138 0     1     0     12.9637 -62.2167 0     
63.8793 8.81508 0     -0.774988 0.136993 0     1     0     -8.69105 3.06148 0     
64.4107 9.68832 0     -0.836544 -0.150393 0     1     0     -68.5939 127.209 0     
64.931 10.5911 0     -0.111098 0.426301 0     1     0     -15.4048 -115.63 0     
63.8795 10.5796 0     -0.954788 0.574864 0     1     0     -28.6031 1.70904 0     
64.406 11.4627 0     0.072125 -0.643552 0     1     0     -26.8559 49.4227 0     
63.3502 11.4864 0     -0.654769 0.361054 0     1     0     84.413 -95.4201 0     
63.8891 12.366 0     0.429673 0.601731 0     1     0     -19.9051 -16.3511 0     
65.4645 13.2387 0     0.612387 -0.750351 0     1     0     -9.93348 -22.8403 0     
63.8813 14.1441 0     -0.111716 0.067104 0     1     0     -6.79457 14.7026 0     
64.4251 15.0459 0     0.133641 -0.654478 0     1     0     -47.4996 -39.4787 0     
63.9034 15.9534 0     -0.256995 -0.796566 0     1     0     -23.5725 -67.7743 0     
63.3923 16.8479 0     -0.250411 -0.111538 0     1     0     -48.0628 -34.7226 0     
64.4407 16.8541 0     -0.333637 -0.266624 0     1     0     22.1664 24.0802 0     
64.9801 17.767 0     -0.0921848 -0.295931 0     1     0     -64.8404 -42.417 0     
64.4418 18.6854 0     -0.79211 -0.521556 0     1     0     28.5309 -59.414 0     
65.0092 19.5827 0     0.530073 -0.0257208 0     1     0     -28.9059 58.372 0     
64.491 20.5266 0     -0.253218 -0.141767 0     1     0     -73.6009 -74.7719 0     
64.9923 21.4483 0     -1.11009 0.589284 0     1     0     73.5246 20.2843 0     
64.4592 22.3654 0     -0.00381274 0.776789 0     1     0     29.5429 44.8432 0     
64.9944 23.3097 0     -1.28647 -0.109018 0     1     0     1.09927 -28.3335 0     
65.5272 24.2335 0     0.670121 0.708645 0     1     0     -58.2314 15.2303 0     
64.9878 25.1916 0     1.36203 0.243081 0     1     0     -19.5564 -52.0295 0     
65.5225 26.11 0     -0.958528 -0.400288 0     1     0     -68.2866 26.8567 0     
64.9883 27.0851 0     -0.484988 0.299349 0     1     0     -33.0203 -12.1629 0     
64.9472 29.0118 0     0.755562 0.073701 0     1     0     53.3099 -8.21882 0     
64.4002 29.9501 0     0.383682 0.960002 0     1     0     7.42651 7.42093 0     
63.3104 29.9337 0     -0.313899 0.0261829 0     1     0     33.2521 4.39547 0     
63.2744 31.8282 0     -0.157794 -0.867237 0     1     0     -7.32213 88.8712 0     
62.1687 31.8629 0     -1.92391 -0.860548 0     1     0     -14.2595 -16.938 0     
61.6029 32.8483 0     -0.003443 -0.38046 0     1     0     -23.0599 -63.3641 0     
62.1167 33.8011 0     -0.199267 -0.556447 0     1     0     39.9843 35.1624 0     
63.7669 34.8104 0     0.181927 0.0866755 0     1     0     5.47622 52.3957 0     
62.6259 34.8243 0     0.301326 -1.12495 0     1     0     46.1926 -22.9114 0     
62.0572 35.8509 0     -0.485394 -1.18484 0     1     0     -91.4605 -43.0613 0     
61.9036 37.8786 0     1.36727 -0.561295 0     1     0     -35.9249 3.35513 0     
60.7353 37.8811 0     0.0761272 -0.316107 0     1     0     10.839 -0.907916 0     
61.2426 38.9163 0     -0.817601 -0.317276 0     1     0     -9.14092 19.4181 0     
61.5749 40.0838 0     1.7826 -0.28062 0     1     0     35.4412 -17.3183 0     
60.9459 41.1605 0     0.934158 -0.465005 0     1     0     -1.55774 2.6516 0     
66.5289 0.972327 0     0.746121 -0.087576 0     1     0     -30.5615 -14.586 0     
67.0513 1.83088 0     0.695346 -0.438405 0     1     0     12.2504 -52.6883 0     
66.5293 2.69134 0     -0.171937 0.611838 0     1     0     -62.6554 11.2885 0     
67.0603 3.55648 0     0.227821 -0.32246 0     1     0     -61.7452 16.0676 0     
67.5718 4.433 0     0.207435 -0.36685 0     1     0     10.9024 -14.1704 0     
66.5264 4.4353 0     -1.096 0.0724232 0     1     0     -63.315 -38.2468 0     
65.9964 5.31745 0     -0.150976 -0.69106 0     1     0     -1.02717 -119.693 0     
65.476 6.1806 0     0.406378 0.767739 0     1     0     -60.0267 69.8437 0     
66.5276 6.19134 0     0.00263672 -0.902985 0     1     0     -11.763 -9.23435 0     
65.9902 7.06218 0     -0.181036 0.864304 0     1     0     61.8995 -35.3238 0     
65.4846 7.93825 0     0.621974 -1.4317 0     1     0     -121.346 38.0772 0     
64.9342 8.82703 0     -0.856431 -0.0052358 0     1     0     34.9848 -172.489 0     
66.5021 9.69309 0     -0.740195 -0.418605 0     1     0     26.4137 95.597 0     
65.4532 9.68897 0     -0.748718 -0.190417 0     1     0     29.9983 125.299 0     
65.9711 10.5816 0     -0.714584 -0.185406 0     1     0     50.0583 -82.2452 0     
65.4671 11.4649 0     -0.383799 0.0413415 0     1     0     -54.1979 11.7048 0     
64.9323 12.3479 0     -0.251183 -0.690812 0     1     0     6.73249 36.1397 0     
66.5166 13.2336 0     0.0357724 -0.526724 0     1     0     -4.73698 -8.35403 0     
65.9969 14.1216 0     0.48637 0.205882 0     1     0     -37.1733 15.8001 0     
64.9355 14.1356 0     0.284074 -0.0474004 0     1     0     23.092 23.3999 0     
65.4713 15.0162 0     -1.0164 -0.583671 0     1     0     -26.8038 48.2554 0     
64.9474 15.9411 0     0.409198 -0.299866 0     1     0     36.2662 -10.2343 0     
65.4932 16.8414 0     0.477386 -0.48302 0     1     0     -21.7009 16.9837 0     
66.031 17.7542 0     0.0438155 -0.391283 0     1     0     -33.4638 -51.2132 0     
65.5034 18.6654 0     0.538984 1.11364 0     1     0     27.4798 40.3798 0     
66.0644 19.5877 0     -0.728051 -1.29545 0     1     0     -68.8083 -21.4792 0     
65.536 20.5121 0     0.352442 0.0230649 0     1     0     -12.6996 -18.5644 0     
66.0587 21.4246 0     0.0871377 0.883132 0     1     0     -82.3367 39.4 0     
65.5457 22.3777 0     -0.119358 -0.258123 0     1     0     -110.478 -29.6054 0     
66.5829 22.3454 0     -0.691094 0.0662321 0     1     0     37.9475 53.0695 0     
66.0684 23.3065 0     -0.2404 0.554214 0     1     0     -41.1438 -30.4602 0     
66.5868 24.2372 0     0.225388 -0.582474 0     1     0     53.4399 -13.4233 0     
66.0494 25.1601 0     -0.436642 -1.00616 0     1     0     -5.93801 20.9294 0     
66.5658 26.1029 0     0.395356 0.00439635 0     1     0     90.8806 17.0519 0     
65.4896 28.0556 0     1.01935 -0.46882 0     1     0     66.9674 -45.0023 0     
66.0418 28.9967 0     -0.741903 0.633483 0     1     0     -63.5683 -28.78 0     
65.5049 29.9605 0     0.65746 1.17767 0     1     0     -84.4929 -22.616 0     
63.8551 30.9064 0     1.0331 -0.446974 0     1     0     -32.1902 -44.513 0     
64.9335 30.93 0     -0.311595 -0.469259 0     1     0     -44.2335 -76.777 0     
63.8249 32.854 0     1.30945 -0.811107 0     1     0     -56.5093 8.06206 0     
62.7222 32.8004 0     -0.203721 -1.57963 0     1     0     3.92916 70.0887 0     
63.2173 33.8595 0     -0.288533 -0.556219 0     1     0     15.4448 -76.9596 0     
64.3555 33.8375 0     1.20048 -2.24572 0     1     0     2.10084 19.1165 0     
63.126 35.8084 0     0.969266 0.0071889 0     1     0     84.4724 -4.68397 0     
62.5206 36.8385 0     0.160077 0.483193 0     1     0     -0.762473 66.4939 0     
63.0124 37.9382 0     1.3105 0.141563 0     1     0     44.5252 -39.4729 0     
62.4313 38.9315 0     1.57428 -0.380169 0     1     0     -34.2617 38.5137 0     
62.8632 40.0936 0     1.98486 -0.239146 0     1     0     -21.7757 -45.9951 0     
63.4081 41.143 0     1.85438 -0.789337 0     1     0     18.7588 -26.3691 0     
61.8043 42.1916 0     -1.562 -0.665832 0     1     0     -9.95982 14.8777 0     
67.5869 0.962772 0     -0.678015 0.338849 0     1     0     -62.4507 67.0028 0     
68.104 1.81883 0     0.0728877 -0.323468 0     1     0     28.6168 33.8028 0     
67.5845 2.68509 0     -0.444753 -0.0341306 0     1     0     -69.456 27.1252 0     
68.0998 3.55616 0     -0.255926 -0.175688 0     1     0     -20.3639 53.3599 0     
68.6226 4.42578 0     0.792299 -0.330335 0     1     0     -7.18248 10.0173 0     
68.093 5.30365 0     -0.0178152 1.44883 0     1     0     10.5427 -4.89885 0     
67.0418 5.30852 0     -0.359378 -0.318515 0     1     0     32.0208 19.8894 0     
67.5749 6.18455 0     0.36434 -0.574337 0     1     0     10.0897 -44.1006 0     
67.0634 7.06065 0     0.0984412 -0.162077 0     1     0     -66.8861 10.3442 0     
66.5281 7.93319 0     0.44461 -0.748752 0     1     0     1.12004 33.0348 0     
65.9919 8.82132 0     0.0462896 -0.52289 0     1     0     -11.1492 -85.99 0     
67.5613 9.70151 0     -0.312204 0.61073 0     1     0     15.9358 60.1786 0     
67.0276 10.578 0     -0.423093 -0.56697 0     1     0     79.0252 -38.7996 0     
67.5797 11.4657 0     -0.0645809 0.599441 0     1     0     -80.1795 -24.2065 0     
66.5202 11.4488 0     0.440795 -0.182533 0     1     0     -5.59331 131.688 0     
65.9835 12.3411 0     0.199281 0.189243 0     1     0     72.7771 41.8992 0     
67.0489 12.3496 0     -0.254486 -0.968378 0     1     0     -67.4322 -25.74 0     
67.5599 13.2561 0     -1.17794 0.658907 0     1     0     69.0962 -52.9751 0     
67.0434 14.1399 0     -0.100859 -0.968423 0     1     0     16.4747 -46.8768 0     
66.5165 15.0166 0     -0.217109 0.165703 0     1     0     24.997 92.3914 0     
67.5737 15.0295 0     -0.00955344 1.00888 0     1     0     14.8345 37.1626 0     
65.9893 15.915 0     0.695374 -0.851435 0     1     0     69.2045 49.7501 0     
67.0563 15.9273 0     0.0906901 0.727251 0     1     0     -34.3379 -9.20248 0     
66.5351 16.8248 0     -0.279999 -0.133335 0     1     0     -19.1164 26.8821 0     
67.0717 17.7454 0     0.325132 0.325294 0     1     0     30.5729 40.2303 0     
67.6106 18.6709 0     0.557243 0.0108907 0     1     0     -31.1679 0.934349 0     
66.5537 18.6594 0     -0.277208 0.035263 0     1     0     49.3477 50.997 0     
67.1049 19.5934 0     -0.450555 -0.690592 0     1     0     5.41884 -93.9226 0     
66.5885 20.5072 0     -0.9948 0.970115 0     1     0     -48.2901 -32.6355 0     
67.0957 21.4119 0     -1.30327 0.0702613 0     1     0     100.876 53.414 0     
67.6356 22.3441 0     -0.0617286 0.575055 0     1     0     -15.6891 -12.8408 0     
67.1151 23.2884 0     0.870908 -0.92929 0     1     0     -8.51581 -28.7278 0     
67.659 24.2029 0     -0.442581 -0.721901 0     1     0     -42.6165 75.1441 0     
67.1128 25.1778 0     -0.0588402 -0.594859 0     1     0     45.5512 -34.8466 0     
67.6448 26.1334 0     -0.511092 -1.69948 0     1     0     0.0758945 -64.4197 0     
66.0458 27.0462 0     0.763279 0.087277 0     1     0     -31.8168 76.9238 0     
66.56 28.0115 0     -0.252901 0.384283 0     1     0     -17.3855 -6.74905 0     
66.5691 29.9403 0     0.142016 -1.08411 0     1     0     43.1658 12.2886 0     
66.5667 31.8978 0     0.988277 -1.07109 0     1     0     -55.6168 -89.1705 0     
65.4529 31.86 0     -0.339778 -1.46035 0     1     0     34.7134 89.2009 0     
64.3532 31.8846 0     0.0813722 0.144299 0     1     0     42.4492 10.4818 0     
64.9144 32.8605 0     0.764212 -1.1898 0     1     0     30.887 -21.238 0     
65.4808 33.8273 0     -0.490318 0.322361 0     1     0     -42.6072 21.5956 0     
64.8945 34.8618 0     1.94903 1.02736 0     1     0     -25.3601 -36.7022 0     
63.6226 36.811 0     0.651354 0.487614 0     1     0     31.7585 47.2401 0     
64.1515 37.8435 0     0.878878 -0.776458 0     1     0     -0.738016 24.6708 0     
63.5743 38.9919 0     0.241032 0.498355 0     1     0     -2.50787 -9.73831 0     
64.0374 40.0771 0     0.272982 1.13821 0     1     0     5.086 -19.3515 0     
64.623 41.0965 0     -0.315352 -0.701358 0     1     0     -56.0883 -22.3698 0     
63.5875 42.2704 0     -0.689781 -0.0773576 0     1     0     9.1904 32.3811 0     
68.6373 0.96731 0     -1.00333 -0.401156 0     1     0     17.0604 39.0081 0     
69.1663 1.83615 0     -0.165543 -0.982065 0     1     0     -52.0469 -35.5845 0     
68.6136 2.68897 0     -0.64987 -1.05495 0     1     0     93.1484 -26.0545 0     
69.1425 3.55559 0     -0.103658 -0.364196 0     1     0     14.6415 47.8094 0     
69.6818 4.4188 0     0.0189097 0.274124 0     1     0     -58.8425 15.7668 0     
69.1462 5.29052 0     0.256603 0.011946 0     1     0     23.4533 26.3635 0     
69.6771 6.16218 0     0.328886 0.758704 0     1     0     -35.5423 79.2544 0     
68.6209 6.17278 0     0.110933 0.522344 0     1     0     72.3146 34.4344 0     
68.1117 7.05699 0     0.555016 -0.119463 0     1     0     -3.25287 31.2311 0     
67.575 7.94105 0     0.293641 0.126341 0     1     0     10.606 19.5242 0     
67.0388 8.82732 0     -0.659896 -0.0751886 0     1     0     16.562 -93.0054 0     
68.0896 8.82934 0     -0.973636 0.0663373 0     1     0     -7.14338 -48.7745 0     
68.6205 9.70297 0     -0.375055 0.14342 0     1     0     -26.1507 37.9952 0     
68.0959 10.5873 0     -0.806165 0.917881 0     1     0     -5.22308 -43.033 0     
68.6236 11.4758 0     0.797697 0.279334 0     1     0     35.147 -19.4378 0     
68.0884 12.3574 0     0.545486 -0.273573 0     1     0     56.5737 49.3703 0     
68.6262 13.246 0     -0.832493 -0.972268 0     1     0     -76.4288 -11.6625 0     
69.1244 14.1503 0     -0.330801 0.0282413 0     1     0     164.312 -109.872 0     
68.1034 14.1409 0     -0.0848208 -0.765026 0     1     0     -99.7569 -21.0786 0     
68.628 15.0388 0     -0.173646 0.235953 0     1     0     -56.9433 85.33 0     
69.1591 15.9476 0     -0.172422 -0.0642997 0     1     0     -53.7697 -53.7159 0     
68.1074 15.9383 0     -0.223754 0.203218 0     1     0     -12.5599 18.0116 0     
69.1808 17.7565 0     0.861095 0.0251084 0     1     0     10.9601 9.92377 0     
68.6329 16.8539 0     -0.786408 0.855077 0     1     0     -19.1704 -24.3181 0     
67.5788 16.8473 0     0.0979936 -0.41584 0     1     0     64.8149 -33.5585 0     
68.6934 20.4991 0     -1.50665 0.92831 0     1     0     -27.7568 11.4846 0     
68.1639 19.5848 0     -0.0865196 1.06199 0     1     0     -49.711 -20.6152 0     
67.6364 20.4895 0     -0.218941 0.263577 0     1     0     33.991 74.7279 0     
68.1576 21.4207 0     0.010617 -0.554129 0     1     0     8.43721 -30.1542 0     
68.6969 22.3359 0     -1.17119 -0.41864 0     1     0     12.2019 22.8655 0     
68.1667 23.2587 0     -0.103692 -0.400098 0     1     0     41.2465 52.5414 0     
68.7113 24.2183 0     0.0420759 0.814113 0     1     0     -23.1392 -11.2977 0     
68.1776 25.1662 0     -0.383438 -0.317647 0     1     0     -8.2805 -16.0113 0     
68.7218 26.0934 0     -0.241639 -0.0372943 0     1     0     -64.6406 24.7597 0     
67.0976 27.0647 0     -0.263997 0.0874243 0     1     0     11.6097 2.46983 0     
67.6376 28.0235 0     -0.155062 -0.848479 0     1     0     -24.8283 -9.10487 0     
67.6485 29.9316 0     0.453774 -0.41667 0     1     0     -35.6921 3.62069 0     
66.005 30.9118 0     -0.148497 0.0791606 0     1     0     82.0889 25.6359 0     
67.6336 31.8877 0     -0.157265 0.159119 0     1     0     47.3271 -1.08947 0     
67.1106 32.8512 0     0.805925 0.635445 0     1     0     45.6007 40.176 0     
66.0267 32.8343 0     -1.05041 0.0312867 0     1     0     -65.7444 40.1305 0     
66.0113 34.8287 0     0.560506 0.211379 0     1     0     -21.0006 2.61471 0     
65.4471 35.8261 0     -1.02417 0.322281 0     1     0     -54.0258 51.7495 0     
64.2561 35.8622 0     1.09022 -0.396961 0     1     0     38.4491 -43.0702 0     
64.7742 36.8717 0     -0.559004 -0.188441 0     1     0     23.8082 -46.2207 0     
65.3171 37.8517 0     -0.660572 0.329948 0     1     0     12.942 40.2111 0     
64.7132 38.8935 0     1.19671 0.0580796 0     1     0     21.3192 -6.01079 0     
65.2136 39.9579 0     0.271828 0.638615 0     1     0     20.2925 -8.03193 0     
65.7434 41.0324 0     1.76806 -0.222385 0     1     0     29.5795 -22.6971 0     
65.0789 42.1466 0     -0.0462789 0.534168 0     1     0     -13.8831 33.1112 0     
69.6835 0.966796 0     1.09949 -0.663687 0     1     0     58.56 108.151 0     
70.2152 1.8526 0     -0.497453 0.100411 0     1     0     -35.274 -108.486 0     
69.6706 2.70662 0     -0.359056 1.1237 0     1     0     53.817 -69.7922 0     
70.2051 3.55233 0     -0.350367 0.586433 0     1     0     8.64314 -2.65838 0     
70.7251 4.4109 0     -0.363681 -0.00829689 0     1     0     26.4791 15.2996 0     
70.205 5.28911 0     -0.359102 0.293546 0     1     0     -70.981 15.7224 0     
70.7182 6.17625 0     -1.18515 1.2989 0     1     0     -32.6443 -20.0951 0     
69.1609 7.06307 0     0.255582 1.30216 0     1     0     -35.3689 -22.8747 0     
68.6207 7.94819 0     0.1073 -0.544678 0     1     0     8.06704 -80.9174 0     
70.203 8.83053 0     -0.378115 -0.513855 0     1     0     -63.6687 -88.8263 0     
69.137 8.82028 0     0.657375 -0.34158 0     1     0     41.9206 46.6358 0     
69.6644 9.69888 0     -0.179542 0.269621 0     1     0     13.6272 2.12411 0     
69.1557 10.5872 0     0.740604 0.4177 0     1     0     -60.273 12.2842 0     
70.7278 11.4564 0     -0.0301305 0.876516 0     1     0     -3.98016 78.8085 0     
69.6777 11.4739 0     0.348412 0.642161 0     1     0     -13.0106 -20.2918 0     
69.1514 12.3639 0     -0.7945 -0.271953 0     1     0     -22.1655 -70.2804 0     
69.6687 13.2435 0     -0.227815 0.648483 0     1     0     75.016 53.7352 0     
70.1891 14.1356 0     -0.42963 0.112546 0     1     0     43.0386 -29.0885 0     
70.7223 15.0255 0     -0.896469 0.680534 0     1     0     33.0402 2.06227 0     
69.667 15.0278 0     1.23652 -0.647103 0     1     0     47.1136 57.1265 0     
70.1971 15.9311 0     0.0510775 0.178168 0     1     0     57.1389 2.47682 0     
69.6797 16.842 0     0.519784 -0.234558 0     1     0     78.8333 35.3434 0     
70.2312 17.7511 0     -0.95754 -0.406063 0     1     0     -20.3078 -30.7839 0     
68.1328 17.7666 0     -0.269089 0.232073 0     1     0     -64.5058 -52.8965 0     
68.6616 18.6668 0     0.552258 -0.707709 0     1     0     31.3031 3.44426 0     
69.2062 19.5742 0     -0.0910118 0.173636 0     1     0     18.9458 31.3785 0     
69.7423 20.4907 0     -1.0819 0.267658 0     1     0     19.7317 3.12636 0     
69.755 22.3486 0     -0.116389 -0.537885 0     1     0     -4.60705 -26.3657 0     
69.2241 21.4136 0     -0.321864 -0.601513 0     1     0     -13.282 21.6892 0     
69.2252 23.2853 0     0.217694 0.345168 0     1     0     9.06605 -56.8878 0     
69.7724 24.1966 0     0.861308 0.555884 0     1     0     1.94605 3.86859 0     
69.2535 25.1417 0     -0.132195 -0.357692 0     1     0     -57.199 6.70438 0     
69.7748 26.0817 0     -0.254217 0.0165877 0     1     0     20.6466 -9.6966 0     
68.1583 27.0747 0     -1.0161 -0.323565 0     1     0     47.5863 -47.3171 0     
68.6932 28.0097 0     0.332116 -0.224589 0     1     0     42.7552 19.6699 0     
68.1867 28.9942 0     0.999818 -0.105881 0     1     0     -41.4945 -58.1556 0     
67.0985 28.9508 0     -0.226201 -0.706385 0     1     0     45.8284 73.5346 0     
67.1011 30.9068 0     0.527213 -0.114601 0     1     0     -41.4122 6.32792 0     
68.2198 32.9098 0     0.0412225 -0.11734 0     1     0     -63.4229 -76.8901 0     
67.6603 33.8462 0     0.245413 -0.552705 0     1     0     8.56692 30.8239 0     
66.5739 33.8311 0     -0.559898 -0.413507 0     1     0     -22.82 -0.411253 0     
67.103 34.8286 0     0.308766 0.535066 0     1     0     42.2347 45.1627 0     
67.6906 35.8907 0     0.892932 1.58599 0     1     0     -17.0074 -47.3185 0     
66.5509 35.8598 0     0.13176 0.576335 0     1     0     25.8048 -15.4443 0     
65.9597 36.8819 0     -0.605295 1.34954 0     1     0     -22.7984 -38.2341 0     
66.4856 37.884 0     0.366373 -1.10816 0     1     0     4.69486 -16.6332 0     
65.9312 38.8855 0     1.42176 -0.0559583 0     1     0     -60.3977 1.63694 0     
66.4588 39.903 0     -0.748585 -0.533494 0     1     0     -51.7641 -1.28209 0     
66.9058 40.9487 0     0.286511 -0.88502 0     1     0     19.2386 -8.04149 0     
66.2539 42.0962 0     -0.936602 0.98102 0     1     0     27.2024 12.7669 0     
70.7359 0.973558 0     0.845704 -0.11599 0     1     0     -20.4433 -10.032 0     
71.2626 1.82541 0     -0.322368 -0.352467 0     1     0     9.07031 -16.8882 0     
70.7543 2.70275 0     -0.252456 -0.928954 0     1     0     -103.029 -60.6598 0     
71.2711 3.55491 0     0.162972 0.439618 0     1     0     -21.8802 17.1561 0     
71.7787 4.42748 0     0.0345954 0.129099 0     1     0     -11.8051 16.7905 0     
71.2299 5.28577 0     -0.697336 0.664682 0     1     0     89.8173 62.0589 0     
71.2311 7.05633 0     -0.923572 -0.386201 0     1     0     88.5369 -12.8152 0     
70.1962 7.06079 0     0.110887 0.223983 0     1     0     -41.3229 -4.46438 0     
69.676 7.96188 0     0.252255 0.0734262 0     1     0     6.8482 -136.793 0     
71.2425 8.82876 0     -0.26961 1.0162 0     1     0     22.9444 -77.7039 0     
70.7158 9.69418 0     -0.025975 -0.300935 0     1     0     44.3952 109.744 0     
70.1973 10.5782 0     -1.4428 0.0128889 0     1     0     -13.0076 6.9229 0     
71.2451 10.5793 0     -0.549022 0.86755 0     1     0     42.0169 -29.9149 0     
71.7749 11.4674 0     -0.63848 -0.529851 0     1     0     41.6758 -31.5908 0     
70.21 12.3505 0     -0.215095 -0.219353 0     1     0     6.77268 60.167 0     
71.2631 12.3546 0     0.844605 1.30326 0     1     0     -42.7111 9.41657 0     
70.7426 13.2494 0     0.165932 -0.545803 0     1     0     -82.5825 -24.7873 0     
71.2705 14.134 0     0.304349 -0.320163 0     1     0     -74.1172 74.9629 0     
71.2559 15.9225 0     0.776347 -0.874734 0     1     0     5.00126 10.6976 0     
70.7427 16.8332 0     -0.161508 -0.858549 0     1     0     -66.5345 0.0447735 0     
71.7805 16.8289 0     -0.501793 0.21267 0     1     0     46.0352 13.5685 0     
71.2798 17.7428 0     -0.292902 0.0931776 0     1     0     -34.5065 -17.8855 0     
71.8225 18.6279 0     -0.178956 0.00379798 0     1     0     -23.4782 80.2734 0     
69.7176 18.6697 0     -0.660886 -0.586836 0     1     0     -26.1077 -51.1128 0     
70.2637 19.572 0     0.138545 -0.163491 0     1     0     -53.6581 47.4099 0     
70.7982 20.4907 0     -0.365456 -0.190832 0     1     0     -17.4386 27.1131 0     
70.277 21.4163 0     -0.925942 0.364852 0     1     0     29.8796 1.12841 0     
70.823 22.3353 0     0.686282 -0.84762 0     1     0     6.96158 0.804061 0     
70.2954 23.2575 0     -0.796297 -0.300045 0     1     0     12.1118 32.6471 0     
70.83 24.19 0     0.0367289 -1.16498 0     1     0     12.3406 15.1246 0     
71.3657 25.1465 0     -0.870274 1.15364 0     1     0     -46.6573 -23.39 0     
70.303 25.127 0     0.253578 -1.03091 0     1     0     39.9864 39.5605 0     
70.8442 26.0849 0     -0.174389 0.25581 0     1     0     -60.6416 -30.9404 0     
69.2295 27.0433 0     -0.108347 -0.08696 0     1     0     -16.9789 7.05216 0     
69.7625 27.996 0     0.646989 0.21987 0     1     0     23.3211 -45.0486 0     
69.2472 28.9626 0     0.57217 -0.201356 0     1     0     -36.2588 -36.5574 0     
68.7271 29.9407 0     0.875436 -0.548175 0     1     0     -48.5235 1.03879 0     
68.1689 30.9015 0     -0.0135022 -0.498549 0     1     0     26.2605 14.0336 0     
68.7101 31.8834 0     1.25695 0.459106 0     1     0     21.4911 4.12646 0     
68.7662 33.8829 0     2.14427 -0.292833 0     1     0     33.1872 -19.6157 0     
68.2271 34.8527 0     -0.0319035 0.00748506 0     1     0     -2.35443 34.46 0     
69.3728 34.8387 0     0.498892 -0.804615 0     1     0     -36.3292 38.475 0     
68.8033 35.8717 0     -1.56502 0.607117 0     1     0     40.3173 -12.3551 0     
68.2706 36.8977 0     1.6845 -0.805972 0     1     0     5.56785 -11.9494 0     
67.1115 36.859 0     -0.398796 0.689756 0     1     0     -15.3956 15.2977 0     
67.6277 37.8776 0     0.0508049 0.955331 0     1     0     42.312 -7.7782 0     
67.0775 38.8867 0     1.02954 0.669509 0     1     0     1.86349 -3.96808 0     
67.5994 39.9081 0     1.05956 0.161297 0     1     0     7.18853 -14.0975 0     
68.1883 40.8728 0     -0.651484 0.125212 0     1     0     -17.42 37.2324 0     
67.472 41.9335 0     -1.21506 1.08576 0     1     0     20.4291 33.5934 0     
71.8 0.970575 0     -1.31513 -0.313964 0     1     0     -49.2992 -62.8337 0     
72.3265 1.81306 0     -0.888663 0.0315752 0     1     0     3.29589 135.874 0     
71.7913 2.67237 0     -0.579979 -0.696018 0     1     0     36.4094 99.0675 0     
72.3025 3.56008 0     -0.216244 -0.0597673 0     1     0     16.6904 -25.3655 0     
